time,open,high,low,close,tick_volume,spread,real_volume
2025-06-25 02:20:00,144.833,144.837,144.792,144.819,335,1,0
2025-06-25 02:30:00,144.819,144.865,144.805,144.856,275,0,0
2025-06-25 02:40:00,144.856,144.857,144.787,144.836,361,0,0
2025-06-25 02:50:00,144.835,144.974,144.829,144.931,514,0,0
2025-06-25 03:00:00,144.931,144.98,144.796,144.816,1022,0,0
2025-06-25 03:10:00,144.816,144.976,144.768,144.955,862,0,0
2025-06-25 03:20:00,144.955,144.977,144.891,144.923,541,0,0
2025-06-25 03:30:00,144.923,145.02,144.911,144.968,836,0,0
2025-06-25 03:40:00,144.969,145.043,144.967,145.023,814,1,0
2025-06-25 03:50:00,145.019,145.02,144.879,144.884,1517,0,0
2025-06-25 04:00:00,144.881,144.881,144.732,144.732,954,0,0
2025-06-25 04:10:00,144.732,144.752,144.622,144.711,1019,0,0
2025-06-25 04:20:00,144.712,144.877,144.664,144.875,737,0,0
2025-06-25 04:30:00,144.875,144.9,144.765,144.772,893,0,0
2025-06-25 04:40:00,144.772,144.783,144.665,144.685,772,0,0
2025-06-25 04:50:00,144.685,144.731,144.635,144.654,921,0,0
2025-06-25 05:00:00,144.653,144.728,144.606,144.722,1109,0,0
2025-06-25 05:10:00,144.722,144.771,144.642,144.752,539,0,0
2025-06-25 05:20:00,144.752,144.792,144.705,144.771,770,0,0
2025-06-25 05:30:00,144.771,144.835,144.769,144.785,602,0,0
2025-06-25 05:40:00,144.785,144.815,144.753,144.768,471,0,0
2025-06-25 05:50:00,144.768,144.802,144.756,144.8,493,0,0
2025-06-25 06:00:00,144.805,144.857,144.794,144.855,509,0,0
2025-06-25 06:10:00,144.855,144.859,144.799,144.833,470,0,0
2025-06-25 06:20:00,144.832,144.84,144.779,144.793,381,0,0
2025-06-25 06:30:00,144.793,144.877,144.79,144.868,388,1,0
2025-06-25 06:40:00,144.868,144.944,144.858,144.938,393,0,0
2025-06-25 06:50:00,144.938,144.98,144.918,144.968,485,1,0
2025-06-25 07:00:00,144.968,144.985,144.958,144.975,468,1,0
2025-06-25 07:10:00,144.974,144.982,144.916,144.917,321,1,0
2025-06-25 07:20:00,144.917,144.955,144.91,144.928,304,1,0
2025-06-25 07:30:00,144.928,144.938,144.864,144.87,286,1,0
2025-06-25 07:40:00,144.87,144.96,144.862,144.924,496,2,0
2025-06-25 07:50:00,144.923,144.957,144.897,144.937,383,0,0
2025-06-25 08:00:00,144.937,145.052,144.937,145.013,527,0,0
2025-06-25 08:10:00,145.013,145.097,144.998,145.097,544,1,0
2025-06-25 08:20:00,145.096,145.153,145.082,145.128,920,0,0
2025-06-25 08:30:00,145.128,145.162,145.041,145.05,626,1,0
2025-06-25 08:40:00,145.05,145.095,144.984,145.074,434,0,0
2025-06-25 08:50:00,145.074,145.117,145.029,145.032,603,0,0
2025-06-25 09:00:00,145.032,145.158,145.004,145.157,724,0,0
2025-06-25 09:10:00,145.157,145.211,145.066,145.17,810,0,0
2025-06-25 09:20:00,145.169,145.173,145.077,145.154,920,0,0
2025-06-25 09:30:00,145.154,145.203,145.091,145.156,659,0,0
2025-06-25 09:40:00,145.156,145.242,145.134,145.232,764,0,0
2025-06-25 09:50:00,145.231,145.334,145.209,145.299,933,0,0
2025-06-25 10:00:00,145.299,145.37,145.288,145.31,863,0,0
2025-06-25 10:10:00,145.311,145.342,145.272,145.314,502,0,0
2025-06-25 10:20:00,145.316,145.338,145.287,145.299,559,0,0
2025-06-25 10:30:00,145.3,145.358,145.247,145.247,651,0,0
2025-06-25 10:40:00,145.247,145.307,145.233,145.261,536,0,0
2025-06-25 10:50:00,145.261,145.347,145.261,145.309,751,0,0
2025-06-25 11:00:00,145.309,145.321,145.236,145.299,618,0,0
2025-06-25 11:10:00,145.299,145.441,145.289,145.421,647,0,0
2025-06-25 11:20:00,145.422,145.454,145.371,145.445,689,0,0
2025-06-25 11:30:00,145.445,145.491,145.433,145.458,569,0,0
2025-06-25 11:40:00,145.458,145.462,145.401,145.427,395,0,0
2025-06-25 11:50:00,145.427,145.497,145.411,145.476,560,0,0
2025-06-25 12:00:00,145.476,145.547,145.456,145.547,570,1,0
2025-06-25 12:10:00,145.547,145.62,145.541,145.579,625,0,0
2025-06-25 12:20:00,145.579,145.636,145.569,145.611,651,0,0
2025-06-25 12:30:00,145.611,145.679,145.611,145.646,551,0,0
2025-06-25 12:40:00,145.646,145.674,145.64,145.644,348,0,0
2025-06-25 12:50:00,145.644,145.662,145.618,145.625,548,1,0
2025-06-25 13:00:00,145.625,145.653,145.609,145.613,464,0,0
2025-06-25 13:10:00,145.613,145.657,145.544,145.562,452,0,0
2025-06-25 13:20:00,145.562,145.618,145.561,145.613,404,0,0
2025-06-25 13:30:00,145.613,145.699,145.611,145.682,351,1,0
2025-06-25 13:40:00,145.683,145.752,145.668,145.705,363,0,0
2025-06-25 13:50:00,145.705,145.744,145.684,145.728,333,1,0
2025-06-25 14:00:00,145.729,145.749,145.667,145.7,429,0,0
